family,generation,model_id,current_state_before,target_state_after,code_license,weights_license,weights_available,commercial_use_allowed,evidence_artifact,tutorial_notebook,exact_user_command,blocker_if_any
DINO,GroundingDINO,grounding-dino-1.5-pro,external_api_only,external_api_only,Apache-2.0 (client),proprietary/closed,api_only,conditional,,notebook/tutorials/dino_family/grounding-dino-1.5-pro.ipynb,export DEEPDATASPACE_API_KEY=... && visionservex dino api grounding-dino-1.5-pro image.jpg --text '...',API-only
DINO,GroundingDINO,grounding-dino-1.6-pro,external_api_only,external_api_only,Apache-2.0 (client),proprietary/closed,api_only,conditional,,notebook/tutorials/dino_family/grounding-dino-1.6-pro.ipynb,export DEEPDATASPACE_API_KEY=... && visionservex dino api grounding-dino-1.6-pro image.jpg --text '...',API-only
DINO,DINO-X,dino-x-api,external_api_only,external_api_only,Apache-2.0 (client),proprietary/closed,api_only,conditional,,notebook/tutorials/dino_family/dino-x-api.ipynb,export DEEPDATASPACE_API_KEY=... && visionservex dino api dino-x-api image.jpg --text '...',API-only
DINO,DINO-X,dino-x-detection,absent_from_ledger,not_released,n/a (unreleased),n/a (unreleased),unavailable,unknown,,notebook/tutorials/dino_family/dino-x-detection.ipynb,# dino-x-detection: no separately published checkpoint as of 2026-06; track upstream release,not yet released
DINO,DINO-X,dino-x-segmentation,absent_from_ledger,not_released,n/a (unreleased),n/a (unreleased),unavailable,unknown,,notebook/tutorials/dino_family/dino-x-segmentation.ipynb,# dino-x-segmentation: no separately published checkpoint as of 2026-06; track upstream release,not yet released
DINO,DINO-X,dino-x-phrase-grounding,absent_from_ledger,not_released,n/a (unreleased),n/a (unreleased),unavailable,unknown,,notebook/tutorials/dino_family/dino-x-phrase-grounding.ipynb,# dino-x-phrase-grounding: no separately published checkpoint as of 2026-06; track upstream release,not yet released
DINO,DINO-X,dino-x-counting,absent_from_ledger,not_released,n/a (unreleased),n/a (unreleased),unavailable,unknown,,notebook/tutorials/dino_family/dino-x-counting.ipynb,# dino-x-counting: no separately published checkpoint as of 2026-06; track upstream release,not yet released
DINO,DINO-X,dino-x-region-captioning,absent_from_ledger,not_released,n/a (unreleased),n/a (unreleased),unavailable,unknown,,notebook/tutorials/dino_family/dino-x-region-captioning.ipynb,# dino-x-region-captioning: no separately published checkpoint as of 2026-06; track upstream release,not yet released
DINO,DETR/DINO-detect,deimv2-atto,benchmark_passed,benchmark_passed,unknown,unknown,unknown,unknown,,notebook/tutorials/dino_family/deimv2-atto.ipynb,"visionservex sam run deimv2-atto image.jpg --box 10,20,200,220 --out runs/deimv2-atto",
DINO,DETR/DINO-detect,deimv2-n,wired,wired,unknown,unknown,unknown,unknown,,notebook/tutorials/dino_family/deimv2-n.ipynb,"visionservex sam run deimv2-n image.jpg --box 10,20,200,220 --out runs/deimv2-n",
DINO,DETR/DINO-detect,deimv2-s,benchmark_passed,benchmark_passed,unknown,unknown,unknown,unknown,,notebook/tutorials/dino_family/deimv2-s.ipynb,"visionservex sam run deimv2-s image.jpg --box 10,20,200,220 --out runs/deimv2-s",
DINO,DETR/DINO-detect,deimv2-m,benchmark_passed,benchmark_passed,unknown,unknown,unknown,unknown,,notebook/tutorials/dino_family/deimv2-m.ipynb,"visionservex sam run deimv2-m image.jpg --box 10,20,200,220 --out runs/deimv2-m",
DINO,DETR/DINO-detect,deimv2-l,benchmark_passed,benchmark_passed,unknown,unknown,unknown,unknown,,notebook/tutorials/dino_family/deimv2-l.ipynb,"visionservex sam run deimv2-l image.jpg --box 10,20,200,220 --out runs/deimv2-l",
DINO,DETR/DINO-detect,dfine-n,benchmark_passed,benchmark_passed,unknown,unknown,unknown,unknown,,notebook/tutorials/dino_family/dfine-n.ipynb,"visionservex sam run dfine-n image.jpg --box 10,20,200,220 --out runs/dfine-n",
DINO,DETR/DINO-detect,dfine-s,benchmark_passed,benchmark_passed,unknown,unknown,unknown,unknown,,notebook/tutorials/dino_family/dfine-s.ipynb,"visionservex sam run dfine-s image.jpg --box 10,20,200,220 --out runs/dfine-s",
DINO,DETR/DINO-detect,dfine-m,benchmark_passed,benchmark_passed,unknown,unknown,unknown,unknown,,notebook/tutorials/dino_family/dfine-m.ipynb,"visionservex sam run dfine-m image.jpg --box 10,20,200,220 --out runs/dfine-m",
DINO,DETR/DINO-detect,dfine-l,benchmark_passed,benchmark_passed,unknown,unknown,unknown,unknown,,notebook/tutorials/dino_family/dfine-l.ipynb,"visionservex sam run dfine-l image.jpg --box 10,20,200,220 --out runs/dfine-l",
DINO,DETR/DINO-detect,dfine-x,benchmark_passed,benchmark_passed,unknown,unknown,unknown,unknown,,notebook/tutorials/dino_family/dfine-x.ipynb,"visionservex sam run dfine-x image.jpg --box 10,20,200,220 --out runs/dfine-x",
DINO,DETR/DINO-detect,rtdetrv4-s,checkpoint_required,checkpoint_required,unknown,unknown,unknown,unknown,,notebook/tutorials/dino_family/rtdetrv4-s.ipynb,"visionservex sam run rtdetrv4-s image.jpg --box 10,20,200,220 --out runs/rtdetrv4-s",ONNX local-export step pending
DINO,DETR/DINO-detect,rtdetrv4-m,checkpoint_required,checkpoint_required,unknown,unknown,unknown,unknown,,notebook/tutorials/dino_family/rtdetrv4-m.ipynb,"visionservex sam run rtdetrv4-m image.jpg --box 10,20,200,220 --out runs/rtdetrv4-m",ONNX local-export step pending
DINO,DETR/DINO-detect,rtdetrv4-l,checkpoint_required,checkpoint_required,unknown,unknown,unknown,unknown,,notebook/tutorials/dino_family/rtdetrv4-l.ipynb,"visionservex sam run rtdetrv4-l image.jpg --box 10,20,200,220 --out runs/rtdetrv4-l",ONNX local-export step pending
DINO,DETR/DINO-detect,rtdetrv4-x,checkpoint_required,checkpoint_required,unknown,unknown,unknown,unknown,,notebook/tutorials/dino_family/rtdetrv4-x.ipynb,"visionservex sam run rtdetrv4-x image.jpg --box 10,20,200,220 --out runs/rtdetrv4-x",ONNX local-export step pending
